PlantID,DeviceID,Timestamp,Temperature_C,Humidity_%,Vibration_mm_s,Pressure_bar,Energy_kWh,Status
PL03,DV021,2025-08-15T02:00:00Z,73.5,47,0.10,0.99,4.8,OK
PL03,DV022,2025-08-15T02:05:00Z,74.1,46,0.12,1.00,4.9,OK
PL04,DV023,2025-08-15T02:10:00Z,75.0,45,0.14,1.01,5.0,WARNING
PL04,DV024,2025-08-15T02:15:00Z,76.2,44,0.16,1.03,5.1,ALERT
PL03,DV025,2025-08-15T02:20:00Z,73.8,47,0.11,0.99,4.8,OK
PL03,DV026,2025-08-15T02:25:00Z,74.5,46,0.13,1.00,4.9,OK
PL04,DV027,2025-08-15T02:30:00Z,75.1,45,0.15,1.01,5.0,WARNING
PL04,DV028,2025-08-15T02:35:00Z,76.3,44,0.17,1.03,5.1,ALERT
PL03,DV029,2025-08-15T02:40:00Z,73.7,47,0.10,0.99,4.8,OK
PL03,DV030,2025-08-15T02:45:00Z,74.2,46,0.12,1.00,4.9,OK
PL04,DV031,2025-08-15T02:50:00Z,75.0,45,0.14,1.01,5.0,WARNING
PL04,DV032,2025-08-15T02:55:00Z,76.1,44,0.16,1.03,5.1,ALERT
PL03,DV033,2025-08-15T03:00:00Z,73.6,47,0.11,0.99,4.8,OK
PL03,DV034,2025-08-15T03:05:00Z,74.3,46,0.13,1.00,4.9,OK
PL04,DV035,2025-08-15T03:10:00Z,75.2,45,0.15,1.01,5.0,WARNING
PL04,DV036,2025-08-15T03:15:00Z,76.0,44,0.17,1.03,5.1,ALERT
PL03,DV037,2025-08-15T03:20:00Z,73.9,47,0.10,0.99,4.8,OK
PL03,DV038,2025-08-15T03:25:00Z,74.1,46,0.12,1.00,4.9,OK
PL04,DV039,2025-08-15T03:30:00Z,75.3,45,0.14,1.01,5.0,WARNING
PL04,DV040,2025-08-15T03:35:00Z,76.2,44,0.16,1.03,5.1,ALERT
